,candidate,pact,party,district,votes,percentage
32, NOEMI SALINAS POLANCO,UNIDAD,FA,2,4384,0.02400994572569294
33, PATRICIO QUISBERT LAZO,PDG,PDG,2,13020,0.07130690997913369
34, ANA TORO OJANE,PDG,PDG,2,7110,0.038939487707499276
35, CLAUDIO SAEZ MUÑOZ,PDG,PDG,2,4512,0.02471096603885186
36, XIMENA NARANJO PINTO,CHILEVAMOS,UDI,2,19298,0.1056897656511
37, VITTORIO CANESSA MORALES,CHILEVAMOS,EVOPOLI,2,4100,0.022454556905871594
38, IVAN JIMENEZ CORREA,CHILEVAMOS,DEMOCRATAS,2,2111,0.011561358445925594
39, RAMON GALLEGUILLOS CASTILLO,CHILEVAMOS,RN,2,17905,0.0980606930243002
40, JORGE MUÑOZ OYARCE,REP/PNL/PSC,REPUBLICAN,2,17185,0.0941174537627813
41, CRISTIAN CABEZAS MUNDACA,REP/PNL/PSC,PSC,2,3832,0.020986795625195107
42, ALVARO JOFRE CACERES,REP/PNL/PSC,PNL,2,14898,0.0815921923862622
43, AGUSTIN RENDIC GALLEGUILLOS,REP/PNL/PSC,PNL,2,3466,0.018982315667256326
44, HERNAN VELASQUEZ NUÑEZ,FREVS/AH,FREVS,3,10677,0.03347368223045017
45, MARION TAPIA GONZALEZ,FREVS/AH,FREVS,3,2420,0.007586991757768045
46, DANAHE ROJAS MAMANI,FREVS/AH,FREVS,3,1604,0.005028733379942126
47, MARIA GLORIA LAZCANO TORRES,FREVS/AH,AH,3,3548,0.011123407750645051
48, EDUARDO SOTOMAYOR ORTIZ,FREVS/AH,AH,3,1371,0.004298250289214872
49, MARCO RAMO PAEZ,FREVS/AH,AH,3,1016,0.0031852824900381544
50, SEBASTIAN PATRICIO VIDELA CASTILLO,UNIDAD,PL,3,74340,0.2330648625092878
51, JAIME ARAYA GUERRERO,UNIDAD,PPD,3,13604,0.04265018011267623
52, PAULINA LIZANA MARTINEZ,UNIDAD,PCCH,3,10913,0.03421357068286061
53, MARCELA HERNANDO PEREZ,UNIDAD,PR,3,11944,0.037445879981314684
54, MARGARITA MONTECINO CORTEZ,UNIDAD,PDC,3,1823,0.005715324782814523
55, GABRIELA CARRASCO URQUIETA,UNIDAD,FA,3,8450,0.026491768740966933
56, ADELA MARIA PIZARRO GONCALVEZ,PH/PI,PH,3,4937,0.015478090209959024
57, DAN IBACACHE PANIAGUA,PH/PI,IGUALDAD,3,2176,0.006822022340869118
58, NATALIA VALENTINA SANCHEZ MUÑOZ,PTR,PTR,3,5674,0.01778867406346111
59, DANIEL ANDRES VARGAS DOWNING,PTR,PTR,3,3525,0.011051299977740644
60, DANIELA BEATRIZ AVILES HONORES,PTR,PTR,3,2450,0.00768104537459988
61, NESTOR LUIS VERA ROJAS,PTR,PTR,3,2174,0.006815752099746996
62, NELCY NIEVES CASTILLO SARAVIA,POPULAR,POPULAR,3,3520,0.011035624374935339
63, FABIAN OSSANDON BRICEÑO,PDG,PDG,3,33161,0.10396373292534965
64, PAOLA DEBIA GONZALEZ,PDG,PDG,3,14898,0.0467070261186894
65, SERGIO MARMIE IBARRONDO,PDG,PDG,3,4621,0.014487392112663693
66, JESSIE GONZALEZ BUGUEÑO,PDG,PDG,3,3563,0.01117043455906097
67, VILMA DE LOURDES  ESQUIVEL CESPEDES,PDG,PDG,3,2304,0.007223317772684949
68, LUIS RAMOS BUSTOS,PDG,PDG,3,3867,0.012123511209623567
69, JOSE MIGUEL CASTRO BASCUÑAN,CHILEVAMOS,RN,3,10030,0.03144525922744359
70, DANIELA CASTRO ARAYA,CHILEVAMOS,RN,3,8700,0.027275548881232226
71, CAROLINA LATORRE CRUZ,CHILEVAMOS,DEMOCRATAS,3,7673,0.0240557800650224
72, JOSE LUIS VELIZ VELIZ,CHILEVAMOS,DEMOCRATAS,3,2231,0.006994453971727483
73, JORGE OLIVARES PUENTES,CHILEVAMOS,EVOPOLI,3,2223,0.006969373007238993
74, YANTIEL CALDERON VALENZUELA,CHILEVAMOS,EVOPOLI,3,7948,0.024917938219314224
75, YOVANA AHUMADA PALMA,REP/PNL/PSC,PSC,3,8758,0.027457385873773776
76, CAROLINA MOSCOSO CARRASCO,REP/PNL/PSC,PSC,3,5724,0.01794543009151417
77, LESLIE MOLL VERA,REP/PNL/PSC,PSC,3,2689,0.008430339188693502
78, ADRIANA JIMENEZ RETAMAL,REP/PNL/PSC,PNL,3,15481,0.04853480140578806
79, CARLO ARQUEROS PIZARRO,REP/PNL/PSC,REPUBLICAN,3,12464,0.03907614267306649
80, SILVANA UBILLO ROJAS,REP/PNL/PSC,REPUBLICAN,3,6466,0.02027168954782156
81, JAIME MULET MARTINEZ,FREVS/AH,FREVS,4,20525,0.119103575138253
82, CAROLINA ARMENAKIS DAHER,FREVS/AH,FREVS,4,3152,0.018290595314775806
83, CARLO PEZO CORREA,FREVS/AH,FREVS,4,4256,0.024696945958022156
84, JAIME VARGAS GUERRA,FREVS/AH,FREVS,4,2733,0.015859199554340824
85, JULIETA VARAS SILVA,FREVS/AH,FREVS,4,1233,0.00715491878906046
86, CRISTIAN TAPIA RAMOS,UNIDAD,PPD,4,18145,0.10529278299067481
87, CARLA MATUS GONZALEZ,UNIDAD,PPD,4,1245,0.007224553035182703
88, ERICKA PORTILLA BARRIOS,UNIDAD,PCCH,4,9241,0.05362417236797057
89, PABLO ZENTENO MUÑOZ,UNIDAD,PCCH,4,3333,0.01934091186045297
90, PAMELA BORDONES OLIVARES,UNIDAD,PS,4,1779,0.010323276987622513
91, JUAN SANTANA CASTILLO,UNIDAD,PS,4,19335,0.1121981790644639
92, INTI ELEODORO SALAMANCA FERNANDEZ,POPULAR,POPULAR,4,5195,0.030145825717087665
93, JOANA ANDREA BARRIOS PAEZ,POPULAR,POPULAR,4,2473,0.01435045755502556
94, JORGE DAVID VARAS HENRIQUEZ,POPULAR,POPULAR,4,728,0.004224477598082737
95, MARCELO ISMAEL RUIZ TAGLE ESCOBAR,POPULAR,POPULAR,4,419,0.0024313957604349817
96, OSCAR ALEJANDRO NUÑEZ VENEROS,POPULAR,POPULAR,4,481,0.002791172698733237
97, PAULA ANDREA OLMOS CONTRERAS,PDG,PDG,4,9975,0.057883467089114425
98, JESSICA ALEJANDRA LIQUITAY MARTINEZ,PDG,PDG,4,4795,0.027824684179679565
99, ALEX ALEJANDRO FARIAS PEREZ,PDG,PDG,4,4187,0.02429654904281926
100, FRANCISCO JAVIER VARGAS MERY,PDG,PDG,4,5033,0.029205763394437385
101, HECTOR RAUL VERGARA SEURA,PDG,PDG,4,1478,0.00857661798072292
102, MAXIMILIANO BARRIONUEVO GARCIA,CHILEVAMOS,RN,4,15930,0.09243946172727747
103, CARLA GUAITA CARRIZO,CHILEVAMOS,RN,4,2447,0.014199583355094036
104, TANIA BORCOSKY RAMIREZ,CHILEVAMOS,UDI,4,948,0.005501105443657191
105, KYLE CAMPBELL CAMPBELL,CHILEVAMOS,UDI,4,3374,0.0195788288680373
106, NAYARET OVIEDO ALVAREZ,CHILEVAMOS,EVOPOLI,4,579,0.0033598523753982207
107, GUILLERMO COFRE MUÑOZ,CHILEVAMOS,EVOPOLI,4,937,0.005437274051378468
108, IGNACIO URCULLU CLEMENT-LUND,REP/PNL/PSC,REPUBLICAN,4,8375,0.048598900939482034
109, SUSANA HIPLAN ESTEFFAN,REP/PNL/PSC,REPUBLICAN,4,4586,0.026611887726383836
110, KARINA PALLERES GUZMAN,REP/PNL/PSC,REPUBLICAN,4,2685,0.015580662569851854
111, DANIELA GALLEGOS PORCILE,REP/PNL/PSC,PSC,4,5252,0.03047658838616832
112, LUIS NUÑEZ BARRIENTOS,REP/PNL/PSC,PNL,4,5053,0.02932182047130779
113, MARGARITA CONTRERAS RIOS,REP/PNL/PSC,PNL,4,2422,0.014054512009006028
114, DANIELA  MOLINA BARRERA,FREVS/AH,AH,5,6185,0.013849733193902982
115, CLAUDIA VALENZUELA TORRES,FREVS/AH,AH,5,2005,0.0044896871550162455
116, EDUARDO VARGAS GONZALEZ,FREVS/AH,AH,5,1764,0.003950028998228757
117, MIREYA  CORONA CONTRERAS,FREVS/AH,AH,5,1390,0.0031125511947494174
118, PABLO RAMIREZ INOSTROZA,FREVS/AH,AH,5,1454,0.003255862904435721
119, CLAUDIO IBAÑEZ GONZALEZ,FREVS/AH,FREVS,5,2434,0.005450323459007253
120, ALEJANDRO CAMPUSANO MASSAD,FREVS/AH,FREVS,5,4217,0.00944289812104913
121, ROSA PINTO ROJAS,FREVS/AH,FREVS,5,1168,0.00261543870177505
122, CAROLINA TELLO ROJAS,UNIDAD,FA,5,15047,0.0336939264945284
123, DANIEL MANOUCHEHRI MOGHADAM KASHAN LOBOS,UNIDAD,PS,5,94501,0.21161093557914726
124, NATHALIE CASTILLO ROJAS,UNIDAD,PCCH,5,19290,0.0431950449976376
125, BERNARDO SALINAS MAYA,UNIDAD,PCCH,5,3802,0.008513611253552003
126, JORGE INSUNZA GREGORIO DE LAS HERAS,UNIDAD,PPD,5,9562,0.021411665125319373
127, RAFAEL VERA CASTILLO,UNIDAD,PR,5,8957,0.02005692161969103
128, RICARDO CIFUENTES LILLO,UNIDAD,PDC,5,9868,0.022096874237257015
129, MARIA GALLEGUILLOS TORRES,PH/PI,IGUALDAD,5,4962,0.011111135991616264
130, RODRIGO ANDRADE RAMIREZ,PH/PI,IGUALDAD,5,1674,0.003748496906482392
131, ARTURO ELLIS CATALDO,PH/PI,IGUALDAD,5,1340,0.003000588921556992
132, FRANCISCA PEMJEAN LETELIER,PH/PI,IGUALDAD,5,2533,0.005672008759928255
133, CRISTOPHER SUAZO BENAVIDES,PH/PI,IGUALDAD,5,1232,0.002758750411461354
134, RAFAEL MUÑOZ URRUTIA,PH/PI,IGUALDAD,5,1279,0.0028639949482622334
135, ANA MARIA ITURRALDE PEÑA,PH/PI,IGUALDAD,5,1573,0.003522333114633693
136, CATERINA SIMONCELLI FRACCHIA,PH/PI,IGUALDAD,5,1304,0.002919976084858446
137, CARLOS EDUARDO RUIZ BENITEZ,AMARILLOS,AMARILLOS,5,2384,0.005338361185814828
138, MONTSERRAT MARGARITA PIZARRO CARREÑO,AMARILLOS,AMARILLOS,5,1153,0.0025818500198173224
139, PABLO ALEJANDRO YAÑEZ PIZARRO,AMARILLOS,AMARILLOS,5,16149,0.03616157499568945
140, FRANCHESCA NICOLE PLAZA GONZALEZ,AMARILLOS,AMARILLOS,5,1266,0.002834884757232203
141, YERKO NEFTALI ZAMBRA VILLALOBOS,AMARILLOS,AMARILLOS,5,1465,0.0032804946045380547
142, ELIZABETH SOLANGE FREDES ROSALES,AMARILLOS,AMARILLOS,5,819,0.0018339420348919228
143, TOMAS FELIPE YAVAR AGUILERA,AMARILLOS,AMARILLOS,5,374,0.0008374778034793396
144, FELIX ALONSO VELASCO LADRON DE GUEVARA,AMARILLOS,AMARILLOS,5,7540,0.016883910797417703
145, EILEEN PATRICIA URQUETA ROJAS,PDG,PDG,5,15660,0.03506658396386753
146, JUAN CARLOS THENOUX CIUDAD,PDG,PDG,5,13310,0.029804357123823556
147, MARICEL ANDREA TAPIA SALGUEIRO,PDG,PDG,5,7105,0.015909839020643603
148, FRANCISCO JAVIER NUÑEZ RENCORET,PDG,PDG,5,7765,0.017387741026783615
149, FERNANDA CRISTINA NUÑEZ ARAOS,PDG,PDG,5,6761,0.01513953858107972
150, JUAN SALVADOR SAUL DABED TOZO,PDG,PDG,5,11294,0.025290038268704976
151, JORGE FRANKLIN DUNSTAN PAVEZ,PDG,PDG,5,2950,0.00660577411835308
152, MARCO ANTONIO SULANTAY OLIVARES,CHILEVAMOS,UDI,5,22781,0.05101225091193271
153, JUAN MANUEL FUENZALIDA COBO,CHILEVAMOS,UDI,5,14667,0.03284301321826597
154, GIANNINA GONZALEZ MICHEA,CHILEVAMOS,RN,5,10889,0.024383143855846334
155, ROBERTO VEGA CAMPUSANO,CHILEVAMOS,RN,5,18091,0.04051018968648324
156, ROSETTA PARIS AVALOS,CHILEVAMOS,EVOPOLI,5,4491,0.010056451378143622
157, RODRIGO ORREGO GALVEZ,CHILEVAMOS,EVOPOLI,5,1387,0.0031058334583578717
158, FRANCISCO MARTINEZ RIVERA,CHILEVAMOS,DEMOCRATAS,5,1018,0.002279551882197775
159, VICTOR PINO FUENTES,CHILEVAMOS,DEMOCRATAS,5,2727,0.006106422379914864
160, TATIANA CASTILLO GONZALEZ,REP/PNL/PSC,PSC,5,8250,0.01847377507675014
161, ANDREA BARRERA ESCOBAR,REP/PNL/PSC,PSC,5,4699,0.01052221443462411
162, MATIAS GUZMAN GALLEGUILLOS,REP/PNL/PSC,PSC,5,7138,0.015983734120950603
163, ERICH GROHS MARIN,REP/PNL/PSC,PNL,5,13502,0.030234292252882468
164, CONSTANZA PEÑA CONTRERAS,REP/PNL/PSC,PNL,5,7922,0.01773930256460783
165, MARIA SOLEDAD ROBLES ESPINOSA,REP/PNL/PSC,PNL,5,10159,0.022748494667236926
166, VERONICA PIZARRO GARCIA,REP/PNL/PSC,REPUBLICAN,5,13959,0.03125762742986123
167, PAMELA RISHMAGUE BUZZO,REP/PNL/PSC,REPUBLICAN,5,11363,0.025444546205710523
168, OCTAVIO GONZALEZ OJEDA,FREVS/AH,FREVS,6,6921,0.011766566019259017
169, CLAUDIA JOFRE VIDAL,FREVS/AH,FREVS,6,3742,0.006361868233501986
170, ROBERTO VIDELA PAVEZ,FREVS/AH,FREVS,6,2343,0.003983393177737882
171, MARIA CLAUDIA CANALES LEMUS,FREVS/AH,FREVS,6,3170,0.005389396659594146
172, JAVIERA  TOLEDO MUÑOZ,FREVS/AH,AH,6,14680,0.024957836896795604
173, YANIXSA  AGUILERA CATALAN,FREVS/AH,AH,6,2139,0.0036365676513791414
174, PAMELA  GONZALEZ MUÑOZ,FREVS/AH,AH,6,3332,0.005664816930526086
175, FRANCISCA SALAMA PIMENTEL,FREVS/AH,AH,6,2058,0.0034988575159131713
176, LUIS HURTADO MUÑOZ,FREVS/AH,AH,6,2147,0.0036501686524128174
177, JUAN LATORRE RIVEROS,UNIDAD,FA,6,18375,0.031239799249224744
178, FRANCISCA BELLO CAMPOS,UNIDAD,FA,6,30426,0.05172800718132855
179, NELSON VENEGAS SALAZAR,UNIDAD,PS,6,38197,0.06493967956041564
180, MAURICIO VIÑAMBRES ADASME,UNIDAD,PR,6,15500,0.0263519395027474
181, LUIS FONCEA CALDERON,UNIDAD,PPD,6,12245,0.020818032207170448
182, SABAS IVAN CHAHUAN SARRAS,UNIDAD,PL,6,27448,0.046665034546542625
183, SOFIA GONZALEZ CORTES,UNIDAD,PCCH,6,33227,0.05649005766824438
184, CRISTIAN MELLA ANDAUR,UNIDAD,PDC,6,30782,0.05233325172732713
185, GASPAR RIVAS SANCHEZ,UNIDAD,PDC,6,9368,0.01592677221043469
186, JAVIER OLIVARES AVENDAÑO,PDG,PDG,6,31971,0.05435470050595724
187, MAYKOL CASTILLO FERNANDEZ,PDG,PDG,6,6969,0.011848172025461075
188, JORGE CRISTI RAMIREZ,PDG,PDG,6,8900,0.015131113649964638
189, GONZALO MARCELO SOTO PIZARRO,PDG,PDG,6,9063,0.015408234046025787
190, CAMILA FRANCESCA DOÑAS VARGAS,PDG,PDG,6,12807,0.02177350252978619
191, BONNIE SILVA VILLARROEL,PDG,PDG,6,5661,0.009624408356455035
192, BLANCA ESTHER CURRIECO SOTO,PDG,PDG,6,3287,0.005588311299711659
193, MARCIA XIMENA MARCHANT FARIAS,PDG,PDG,6,4499,0.007648862956313585
194, RUBY VILLALOBOS ARACENA,PDG,PDG,6,3264,0.00554920842173984
195, LUIS PARDO SAINZ,CHILEVAMOS,RN,6,43341,0.07368512322506937
196, PERCY MARIN VERA,CHILEVAMOS,RN,6,19532,0.03320684402372014
197, DANILO QUIROZ CROVETTO,CHILEVAMOS,EVOPOLI,6,6888,0.011710461889995104
198, CAROLINA JULIO LATORRE,CHILEVAMOS,EVOPOLI,6,7054,0.011992682661443882
199, JORDAN GUAJARDO VICENCIO,CHILEVAMOS,EVOPOLI,6,3373,0.0057345220608236765
200, JAVIER CRASEMANN ALFONSO,CHILEVAMOS,UDI,6,8741,0.014860793754420325
201, CATALINA OTERO PEREZ,CHILEVAMOS,UDI,6,9767,0.01660512213698928
202, VIVIANA NUÑEZ CARRASCO,CHILEVAMOS,UDI,6,6391,0.010865499700777978
203, CHIARA BARCHIESI CHAVEZ,REP/PNL/PSC,REPUBLICAN,6,62737,0.10666075023121702
204, BENJAMIN LORCA INZUNZA,REP/PNL/PSC,REPUBLICAN,6,19639,0.033388757412545565
205, MANUEL MILLONES CHIRINO,REP/PNL/PSC,REPUBLICAN,6,13778,0.023424324030248626
206, MARLENE GONZALEZ AHUMADA,REP/PNL/PSC,PSC,6,5277,0.008971560306838584
207, RODOLFO PONCE VARGAS,REP/PNL/PSC,PSC,6,3676,0.006249659974974158
208, JOSE VALLEJO KNOCKAERT,REP/PNL/PSC,PNL,6,16967,0.028846023067297753
209, SOLEDAD CALVO HERRERA,REP/PNL/PSC,PNL,6,7884,0.013403786518687776
210, VERONICA BECERRA VERGARA,REP/PNL/PSC,PNL,6,5549,0.00943399434198357
211, JORGE VILLARROEL PEREZ,REP/PNL/PSC,PNL,6,5077,0.008631535280996682
212, JORGE SHARP FAJARDO,FREVS/AH,FREVS,7,28402,0.05071677035492097
213, RENE LUES ESCOBAR,FREVS/AH,FREVS,7,4827,0.008619458154468119
214, PRISCILA FLEMING ARANGUIZ,FREVS/AH,FREVS,7,2344,0.004185624593758705
215, ANGELA CABEZON CONTRERAS,FREVS/AH,FREVS,7,1882,0.0033606422719513153
216, RODRIGO RUIZ ENCINA,FREVS/AH,FREVS,7,1323,0.0023624493760847983
217, TANIA MADRIAGA FLORES,FREVS/AH,AH,7,2581,0.004608829810789769
218, CARLOS MUÑOZ LECERF,FREVS/AH,AH,7,1876,0.0033499282158239467
219, LUCIA ORTIZ LEON,FREVS/AH,AH,7,1428,0.0025499453583137503
220, CLAUDIO VALLE FIGUEROA,FREVS/AH,AH,7,1125,0.002008885523881631
221, TOMAS LAGOMARSINO GUZMAN,UNIDAD,PR,7,16380,0.02924937322771655
222, JORGE BRITO HASBUN,UNIDAD,FA,7,34122,0.060930837196345795
223, JAIME BASSA MERCADO,UNIDAD,FA,7,40308,0.07197702906366292
224, LUIS CUELLO PEÑA Y LILLO,UNIDAD,PCCH,7,37474,0.06691642321950243
225, ROY CRICHTON ORELLANA,UNIDAD,PDC,7,13618,0.024317336057084492
226, FELIPE ALFREDO RIOS CUEVAS,UNIDAD,PL,7,3577,0.0063873631279329724
227, MANUEL MURILLO CALDERON,UNIDAD,PPD,7,10090,0.018017471054191696
228, TOMAS DE REMENTERIA VENEGAS,UNIDAD,PS,7,19929,0.035586737427055135
229, ARTURO BARRIOS OTEIZA,UNIDAD,PS,7,4913,0.008773026292293736
230, ANTONIO ALEJANDRO PAEZ AGUILAR,PTR,PTR,7,2796,0.004992750155353814
231, ALEJANDRA VALDERRAMA ZUÑIGA,PTR,PTR,7,2389,0.0042659800147139704
232, ROMINA FERNANDA IBAÑEZ SAN MARTIN,PTR,PTR,7,2489,0.004444547616836782
233, CRISTIAN EDUARDO CUEVAS ZAMBRANO,POPULAR,POPULAR,7,2512,0.004485618165325029
234, CONSTANZA LORETO AHUMADA FUENTES,POPULAR,POPULAR,7,1219,0.002176739069877074
235, MONSERRAT MICHEL ESPAÑA VALDIVIA,POPULAR,POPULAR,7,1031,0.0018410319778861882
236, AMARO ENRIQUE RAMIREZ GARCIA,POPULAR,POPULAR,7,918,0.001639250587487411
237, RODRIGO ANDRES WITTWER SALINAS,POPULAR,POPULAR,7,965,0.0017231773604851324
238, MATIAS GAZMURI KRUBERG,POPULAR,POPULAR,7,799,0.001426755140961265
239, FRANCISCO-JESUS PEÑALOZA AGUILERA,POPULAR,POPULAR,7,399,0.0007124847324700185
240, VALENTINA RAYEN NUÑEZ GODOY,POPULAR,POPULAR,7,659,0.0011767604979893288
241, MARIELA DEL CARMEN HIDALGO DIAZ,POPULAR,POPULAR,7,377,0.0006731998600029999
242, JUAN MARCELO VALENZUELA HENRIQUEZ,PDG,PDG,7,26166,0.046723998771454896
243, NICOLAS EDUARDO FARFAN VEGA,PDG,PDG,7,7164,0.012792583016078227
244, VANESSA FERRER RADOVICH,PDG,PDG,7,9346,0.016688928094397978
245, GUILLERMO ESCOBAR ARRIAGADA,PDG,PDG,7,5154,0.009203374213409712
246, VERONICA ROJAS ARENAS,PDG,PDG,7,4768,0.00851410326921566
247, CAROLL SALOME MEYER MEYER,PDG,PDG,7,2902,0.005182031813603994
248, NATALIA VANESSA NAVARRO ALDAY,PDG,PDG,7,5228,0.009335514238980594
249, ANDRES CELIS MONTT,CHILEVAMOS,RN,7,27649,0.049372156310936194
250, SAMIRA CHAHUAN AKLE,CHILEVAMOS,RN,7,10503,0.018754955250958907
251, LEOPOLDO MORENO CONTARDO,CHILEVAMOS,RN,7,3652,0.0065212888295250815
252, CARLOS MONDACA MATZNER,CHILEVAMOS,EVOPOLI,7,7163,0.012790797340057
253, JORGE GARCES ROJAS,CHILEVAMOS,EVOPOLI,7,6220,0.011106904852038885
254, MARLEN OLIVARI MAYER,CHILEVAMOS,EVOPOLI,7,12681,0.022644157625193746
255, JORGE CASTRO MUÑOZ,CHILEVAMOS,UDI,7,6526,0.011653321714534688
256, MACARENA URENDA SALAMANCA,CHILEVAMOS,UDI,7,6938,0.012389020235280672
257, HOTUITI TEAO DRAGO,CHILEVAMOS,UDI,7,46050,0.08223038077755476
258, LUIS FERNANDO SANCHEZ OSSA,REP/PNL/PSC,REPUBLICAN,7,37854,0.06759498010756912
259, RAFAEL GONZALEZ CAMUS,REP/PNL/PSC,REPUBLICAN,7,13373,0.023879845431883602
260, ANGELA CARRASCO JOFRE,REP/PNL/PSC,REPUBLICAN,7,11811,0.021090619486725283
261, SEBASTIAN ZAMORA SOTO,REP/PNL/PSC,REPUBLICAN,7,25755,0.045990085926730144
262, JAIME MORALES OTAROLA,REP/PNL/PSC,PNL,7,6920,0.012356878066898567
263, PEDRO SCHWEDELBACH PUGA,REP/PNL/PSC,PNL,7,16546,0.029545795447240418
264, ALEJANDRA CARRASCO PEREZ,REP/PNL/PSC,PNL,7,9783,0.017469268515674666
265, BARBARA VERA SEPULVEDA,REP/PNL/PSC,PSC,7,2335,0.004169553509567652
266, JUAN ALBERTO SEPULVEDA QUEZADA,REP/PNL/PSC,PSC,7,4773,0.0085230316493218
267, CESAR LEIVA RUBIO,FREVS/AH,AH,8,7852,0.010238115727738096
268, CARLOS ASTUDILLO ULLOA,FREVS/AH,AH,8,4177,0.005446333341156652
269, JAVIER IBARRA REYES,FREVS/AH,AH,8,4025,0.005248142613874915
270, GUILLERMO FLORES CONTRERAS,FREVS/AH,FREVS,8,8358,0.010897882227768085
271, CHRISTIAN VITTORI MUÑOZ,FREVS/AH,FREVS,8,6495,0.008468741932203124
272, DAVID QUEZADA GOMEZ,FREVS/AH,FREVS,8,4181,0.005451548886611434
273, ERICA VELASQUEZ MONTENEGRO,FREVS/AH,FREVS,8,3886,0.005066902409321223
274, JAIME CAYUQUEO ZAMBRANO,FREVS/AH,FREVS,8,2403,0.0031332389319606016
275, RUBEN OYARZO FIGUEROA,UNIDAD,PR,8,13261,0.017290837068967765
276, VIVIANA SOLEDAD DELGADO RIQUELME,UNIDAD,PL,8,10944,0.014269732364284988
277, CRISTOPHER VALDIVIA OLATE,UNIDAD,PL,8,14393,0.01876683643267122
278, GUSTAVO GATICA VILLARROEL,UNIDAD,PCCH,8,94444,0.1231442437328702
279, MARCOS BARRAZA GOMEZ,UNIDAD,PCCH,8,26235,0.034207458751554884
280, CLAUDIA ATENAS SOZA,UNIDAD,PDC,8,11485,0.014975134887044324
281, JUAN CARLOS VALDIVIA LENA,UNIDAD,PDC,8,25386,0.033100459228777294
282, TATIANA URRUTIA HERRERA,UNIDAD,FA,8,33124,0.04318993191105409
283, CLAUDIA MIX JIMENEZ,UNIDAD,FA,8,22154,0.028886298501313013
284, ELISA ANDREA ROJAS HERRERA,PH/PI,PH,8,9382,0.012233061864192412
285, MARIA TERESA ALVAREZ AGUILAR,PH/PI,PH,8,7166,0.009343649682242893
286, MAXIMO QUITRAL ROJAS,PH/PI,PH,8,4901,0.006390347068472289
287, ROSSANA DEL PILAR TARSETTI GUAJARDO,PH/PI,PH,8,4863,0.006340799386651855
288, PABLO ANDRES MORALES MONTOYA,PH/PI,PH,8,4515,0.005887046932085775
289, YESSENIA LIA CRISOSTOMO VALENZUELA,PH/PI,PH,8,3747,0.00488566220476753
290, RICHARD TAPIA FUENTES,PH/PI,PH,8,2812,0.003666528454712115
291, AMAURI ALEN QUILALEO VALENCIA,PH/PI,PH,8,3760,0.004902612727495573
